city,lat,lng,capital,population,admin
Liên Hương,11.227614,108.723664,minor,,Bình Thuận
Hương Trà,16.525395,107.475501,minor,,Thừa Thiên-Huế
Hòa Mạc,20.641726,105.989001,minor,,Hà Nam
Tri Tôn,10.420202,105.000733,minor,,An Giang
Nghi Xuân,18.662059,105.755745,minor,,Hà Tĩnh
Thứ Mười Một,9.611445,104.946502,minor,,Kiến Giang
Chợ Mới,10.551234,105.404406,minor,,An Giang
Chợ Lách,10.260322,106.118918,minor,,Bến Tre
Bắc Ninh,21.18608,106.076315,admin,,Bắc Ninh
Kon Dơng,14.038863,108.250113,minor,,Gia Lai
Tân Phú,11.272209,107.436547,minor,,Đồng Nai
Quận Mười Một,10.763829,106.643552,minor,,Hồ Chí Minh
Quận Mười,10.768234,106.666324,minor,,Hồ Chí Minh
Quận Tân Phú,10.783786,106.63704,minor,,Hồ Chí Minh
Quận Ba,10.774943,106.68628,minor,,Hồ Chí Minh
Quận Bình Thạnh,10.803251,106.696665,minor,,Hồ Chí Minh
Kim Tân,20.130533,105.674535,minor,,Thanh Hóa
Ngô Đồng,20.282961,106.443473,minor,,Nam Định
Mù Cang Chải,21.851254,104.08954,minor,,Yên Bái
Thị Trấn Nguyên Bình,22.649952,105.959845,minor,,Cao Bằng
Tánh Linh,11.084206,107.68095,minor,,Bình Thuận
Đắk Mâm,12.457886,107.862461,minor,,Đắk Nông
Thành Phố Cao Bằng,22.665678,106.257858,admin,,Cao Bằng
Vĩnh Trụ,20.560195,106.028121,minor,,Hà Nam
Phước Dân,11.526956,108.929958,minor,,Ninh Thuận
Tứ Kỳ,20.819141,106.406614,minor,,Hải Dương
Tân Châu,11.552017,106.172454,minor,,Tây Ninh
Mường Xén,19.397954,104.152392,minor,,Nghệ An
Sông Thao,21.421304,105.133744,minor,,Phú Thọ
Phú Vang,16.439108,107.714376,minor,,Thừa Thiên-Huế
Hải Lăng,16.693474,107.251245,minor,,Quảng Trị
Núi Sập,10.264779,105.266758,minor,,An Giang
Mỏ Cày,10.133124,106.335189,minor,,Bến Tre
Trâu Quỳ,21.019507,105.936935,minor,,Hà Nội
Đình Lập,21.54633,107.098125,minor,,Lạng Sơn
Tam Kỳ,15.573642,108.474026,admin,,Quảng Nam
Thị Trấn Thuận Châu,21.43858,103.689932,minor,,Sơn La
Thị Trấn Thông Nông,22.784099,105.983201,minor,,Cao Bằng
Krông Năng,12.951698,108.34425,minor,,Đắk Lắk
Thanh Ba,21.498805,105.141038,minor,,Phú Thọ
Yên Châu,21.045842,104.301006,minor,,Sơn La
Vinh,18.673365,105.692317,admin,,Nghệ An
Sơn Tịnh,15.158558,108.795816,minor,,Quảng Ngãi
Rạch Giá,10.012447,105.080913,admin,,Kiến Giang
Thanh Sơn,21.198669,105.178921,minor,,Phú Thọ
Thuận Nam,10.850039,107.87864,minor,,Bình Thuận
Vĩnh Lộc,20.054385,105.615675,minor,,Thanh Hóa
Vạn Giã,12.692028,109.220688,minor,,Khánh Hòa
Bến Lức,10.636399,106.491036,minor,,Long An
Châu Thành,9.700703,105.902023,minor,,Sóc Trăng
Nhơn Trạch,10.722936,106.883411,minor,,Đồng Nai
Thới Lai,10.065217,105.558626,minor,,Cần Thơ
Buôn Trấp,12.484783,108.02982,minor,,Đắk Lắk
M’Đrăk,12.74624,108.742805,minor,,Đắk Lắk
Thanh Khê,16.070599,108.191021,minor,,Đà Nẵng
Xuân Trường,20.292273,106.332745,minor,,Nam Định
Cần Giuộc,10.608571,106.671345,minor,,Long An
Cần Đước,10.509659,106.603078,minor,,Long An
Krông Klang,16.689058,106.887397,minor,,Quảng Trị
Sóc Sơn,21.25782,105.848943,minor,,Hà Nội
Liên Quan,21.057229,105.579191,minor,,Hà Nội
Phong Thổ,22.544328,103.297765,minor,,Lai Châu
Bát Xát,22.543109,103.889887,minor,,Lào Cai
Dĩ An,10.906818,106.769396,minor,,Bình Dương
Vĩnh Hưng,10.890667,105.78495,minor,,Long An
Bình Đại,10.189644,106.691494,minor,,Bến Tre
Vôi,21.355217,106.261502,minor,,Bắc Giang
Tân Túc,10.695412,106.591281,minor,,Hồ Chí Minh
Tân Phú,11.451193,106.868112,minor,,Bình Phước
Cổ Phúc,21.75585,104.827684,minor,,Yên Bái
Tầm Vu,10.441137,106.467927,minor,,Long An
Phúc Yên,21.236954,105.704831,minor,,Vĩnh Phúc
Cổ Lễ,20.32336,106.265838,minor,,Nam Định
Thị Trấn Trạm Tấu,21.466594,104.379657,minor,,Yên Bái
Trà My,15.33965,108.220654,minor,,Quảng Nam
Kim Sơn,19.604094,104.919033,minor,,Nghệ An
Quán Hàu,17.404379,106.640715,minor,,Quảng Bình
Cái Đôi Vàm,8.857065,104.811995,minor,,Cà Mau
Móng Cái,21.524706,107.966195,minor,,Quảng Ninh
Châu Thành,9.869888,106.349394,minor,,Trà Vinh
Lâm,20.327734,106.012083,minor,,Nam Định
Cam Lộ,16.807971,106.994053,minor,,Quảng Trị
Vạn Hà,19.886588,105.67879,minor,,Thanh Hóa
Trần Văn Thời,9.077127,104.979143,minor,,Cà Mau
Hồ,21.06308,106.085704,minor,,Bắc Ninh
Mỹ Xuyên,9.560062,105.989839,minor,,Sóc Trăng
Khâm Đức,15.445076,107.793367,minor,,Quảng Nam
Phúc Thọ,21.103449,105.545511,minor,,Hà Nội
Thị Trấn Tà Lùng,22.497904,106.566902,minor,,Cao Bằng
Đắk Hà,14.513453,107.921022,minor,,Kon Tum
Thị Trấn Mường Khương,22.761406,104.121556,minor,,Lào Cai
Quế Sơn,15.673556,108.220096,minor,,Quảng Nam
Trảng Bàng,11.029873,106.357505,minor,,Tây Ninh
Di Linh,11.581531,108.076415,minor,,Lâm Đồng
Khánh Hải,11.591048,109.040519,minor,,Ninh Thuận
Tân Biên,11.544406,106.011608,minor,,Tây Ninh
Yên Lạc,21.236463,105.572968,minor,,Vĩnh Phúc
Yến Lạc,22.23693,106.181489,minor,,Bắc Kạn
Vĩnh Long,10.253692,105.972201,admin,,Vĩnh Long
Tân Hiệp,10.117091,105.28578,minor,,Kiến Giang
Tân Hiệp,10.44905,106.343858,minor,,Tiền Giang
Bến Cầu,11.110506,106.179235,minor,,Tây Ninh
Thứa,21.019373,106.200443,minor,,Bắc Ninh
Sốp Cộp,20.938815,103.597126,minor,,Sơn La
An Nhơn,13.885787,109.108229,minor,,Bình Định
Yên Thịnh,20.162451,106.006974,minor,,Ninh Bình
Cam Ranh,11.927318,109.160821,minor,,Khánh Hòa
Bù Đốp,11.954861,106.800177,minor,,Bình Phước
Huyện Chiêm Hóa,22.144131,105.272775,minor,,Tuyên Quang
Duyên Hải,9.63497,106.492367,minor,,Trà Vinh
Sơn Dương,21.696756,105.399012,minor,,Tuyên Quang
Sơn Hà,15.041933,108.469734,minor,,Quảng Ngãi
Tân Sơn,11.775213,108.784797,minor,,Ninh Thuận
Châu Thành,10.301218,106.357012,minor,,Bến Tre
Ba Tơ,14.763595,108.732226,minor,,Quảng Ngãi
Thị Trấn Mường Tè,22.380671,102.820107,minor,,Lai Châu
Thị Trấn Phước Bửu,10.53472,107.40202,minor,,Bà Rịa-Vũng Tàu
Chũ,21.373793,106.566489,minor,,Bắc Giang
Tân Hưng,10.83476,105.661354,minor,,Long An
Phước An,12.712981,108.301485,minor,,Đắk Lắk
Thành Phố Hạ Long,20.950452,107.073361,admin,,Quảng Ninh
Chư Prông,13.756836,107.886237,minor,,Gia Lai
Vĩnh Châu,9.32439,105.980065,minor,,Sóc Trăng
Cát Bà,20.727786,107.048186,minor,,Hải Phòng
Vũ Quang,18.38385,105.505904,minor,,Hà Tĩnh
Phú Lộc,16.280351,107.858984,minor,,Thừa Thiên-Huế
Lấp Vò,10.361613,105.51924,minor,,Đồng Tháp
Đồng Xuân,13.377324,109.108068,minor,,Phú Yên
Ea Súp,13.066164,107.885463,minor,,Đắk Lắk
Cô Tô,20.972681,107.765779,minor,,Quảng Ninh
Thới Bình,9.355842,105.099292,minor,,Cà Mau
Ma Đa Gui,11.387022,107.535081,minor,,Lâm Đồng
Ái Tử,16.768857,107.165043,minor,,Quảng Trị
Phủ Thông,22.273137,105.879434,minor,,Bắc Kạn
Quỳnh Côi,20.661918,106.327445,minor,,Thái Bình
Cần Giờ,10.411149,106.954737,minor,,Hồ Chí Minh
Hát Lót,21.197329,104.105953,minor,,Sơn La
Năm Căn,8.758988,104.992851,minor,,Cà Mau
Trà Cú,9.697741,106.258339,minor,,Trà Vinh
Hưng Hà,20.5904,106.22445,minor,,Thái Bình
Mường Khến,20.614414,105.279477,minor,,Hòa Bình
Sơn Trà,16.060681,108.232563,minor,,Đà Nẵng
Bẩn Yên Nhân,20.936527,106.057105,minor,,Hưng Yên
Vĩnh Yên,21.308909,105.604894,admin,,Vĩnh Phúc
Hưng Hóa,21.254873,105.295304,minor,,Phú Thọ
Võ Xu,11.186906,107.560251,minor,,Bình Thuận
Vụ Bản,20.464203,105.443476,minor,,Hòa Bình
Văn Giang,20.94301,105.931194,minor,,Hưng Yên
Plei Kần,14.704947,107.686201,minor,,Kon Tum
Chư Sê,13.69153,108.080232,minor,,Gia Lai
Phú Thái,20.962781,106.509495,minor,,Hải Dương
An Châu,10.445591,105.386218,minor,,An Giang
Quảng Xương,19.729475,105.782731,minor,,Thanh Hóa
Nông Cống,19.624028,105.649412,minor,,Thanh Hóa
Quế,20.580637,105.872664,minor,,Hà Nam
Thạch Hà,18.367877,105.861219,minor,,Hà Tĩnh
Mỹ Tho,10.360045,106.35996,admin,,Tiền Giang
Mỹ Thọ,10.442667,105.695075,minor,,Đồng Tháp
Quỳ Hợp,19.325456,105.182509,minor,,Nghệ An
Bắc Hà,22.539107,104.293053,minor,,Lào Cai
Vĩnh Thạnh,10.22263,105.398412,minor,,Cần Thơ
Cờ Đỏ,10.093769,105.429161,minor,,Cần Thơ
Đức Thọ,18.539568,105.583024,minor,,Hà Tĩnh
Chùa Hang,21.623845,105.841682,minor,,Thái Nguyên
Tuy Phước,13.827381,109.166508,minor,,Bình Định
Khe Tre,16.169097,107.717933,minor,,Thừa Thiên-Huế
Lai Cách,20.932525,106.247556,minor,,Hải Dương
Đắk Rve,14.507174,108.247299,minor,,Kon Tum
Ít Ong,21.517501,104.027013,minor,,Sơn La
Diên Khánh,12.254904,109.093316,minor,,Khánh Hòa
Côn Đảo,8.682279,106.607283,minor,,Bà Rịa-Vũng Tàu
Đồng Hới,17.468848,106.622264,admin,,Quảng Bình
Thủ Đức,10.848627,106.772089,minor,,Hồ Chí Minh
Thị Trấn Phước Long,9.437527,105.462166,minor,,Bạc Liêu
Trần Cao,20.729521,106.179706,minor,,Hưng Yên
Kông Chro,13.77532,108.525576,minor,,Gia Lai
Gò Dầu,11.088502,106.263456,minor,,Tây Ninh
Bảo Lộc,11.54798,107.807722,minor,,Lâm Đồng
An Lão,20.822936,106.555753,minor,,Hải Phòng
Cái Răng,10.000898,105.750951,minor,,Cần Thơ
Vị Thanh,9.784492,105.470123,admin,,Hậu Giang
Trảng Bom,10.953579,107.005892,minor,,Đồng Nai
